frame,time,bone,true_deg,computed_deg,diff_deg,raw_deg,pre_clamp_deg,clamped_deg,filtered_deg,expected_proj_mag,current_proj_mag,ref_axis_angle_deg,degenerate,held_previous_raw,ref_to_bone_forward_deg,ref_to_bone_up_deg,ref_to_bone_right_deg,axis_x,axis_y,axis_z,ref_x,ref_y,ref_z
5,0.1667,L_LowerLeg,4.55,0.00,-4.55,0.00,0.00,0.00,0.00,0.1203,0.2260,166.94,Y,N,21.23,111.23,89.87,-0.11544,-0.97485,0.19064,0.02486,0.99955,0.01655
5,0.1667,R_UpperLeg,-1.36,0.00,1.36,0.00,0.00,0.00,0.00,0.0956,0.3836,157.45,Y,N,27.92,117.80,92.42,0.22749,-0.92452,-0.30578,0.02486,0.99955,0.01655
5,0.1667,R_LowerLeg,-5.17,0.00,5.17,0.00,0.00,0.00,0.00,0.1152,0.4099,155.80,Y,N,27.92,117.80,92.42,0.20334,-0.91166,-0.35711,0.02486,0.99955,0.01655
6,0.2000,L_UpperArm,6.28,-70.00,-76.28,-8.81,-74.51,-70.00,-70.00,0.9987,0.7191,134.02,N,N,83.53,91.03,173.45,-0.61449,-0.63993,0.46140,0.87553,-0.09622,-0.47349
6,0.2000,L_LowerArm,26.25,65.69,39.44,67.48,67.48,67.48,65.69,0.9987,0.9860,99.61,N,N,83.53,91.03,173.45,0.30748,-0.11497,0.94458,0.87553,-0.09622,-0.47349
6,0.2000,R_UpperArm,13.50,55.36,41.86,-15.87,60.60,60.60,55.36,0.9988,0.9147,66.17,N,N,96.50,89.06,173.43,0.36678,-0.91312,-0.17801,0.85630,0.00216,-0.51647
6,0.2000,R_LowerArm,-11.16,-76.47,-65.31,-81.31,-81.31,-81.31,-76.47,0.9989,0.9626,105.72,N,N,96.50,89.06,173.43,0.26447,-0.05326,0.96292,0.85630,0.00216,-0.51647
6,0.2000,L_UpperLeg,10.54,0.00,-10.54,0.00,0.00,0.00,0.00,0.0972,0.6449,139.84,Y,N,22.74,112.15,94.89,0.09110,-0.77423,0.62632,0.03529,0.99933,0.00996
6,0.2000,L_LowerLeg,8.81,0.00,-8.81,0.00,0.00,0.00,0.00,0.1203,0.1859,169.29,Y,N,22.74,112.15,94.89,-0.08821,-0.98179,0.16826,0.03529,0.99933,0.00996
6,0.2000,R_UpperLeg,-1.10,0.00,1.10,0.00,0.00,0.00,0.00,0.0956,0.4100,155.80,Y,N,33.85,122.48,98.50,0.22410,-0.91734,-0.32903,0.03529,0.99933,0.00996
