frame,time,bone,true_deg,computed_deg,diff_deg,sign_match
18,0.6000,R_LowerLeg,-4.56,0.00,4.56,Y
19,0.6333,L_UpperArm,-40.95,-58.42,-17.47,Y
19,0.6333,L_LowerArm,-18.94,35.13,54.07,N
19,0.6333,R_UpperArm,10.83,-67.54,-78.37,N
19,0.6333,R_LowerArm,19.89,-35.54,-55.44,N
19,0.6333,L_UpperLeg,-21.84,0.00,21.84,Y
19,0.6333,L_LowerLeg,-20.33,0.00,20.33,Y
19,0.6333,R_UpperLeg,-12.63,0.00,12.63,Y
19,0.6333,R_LowerLeg,-4.14,0.00,4.14,Y
20,0.6667,L_UpperArm,-35.94,-66.06,-30.12,Y
20,0.6667,L_LowerArm,-19.93,40.18,60.12,N
20,0.6667,R_UpperArm,23.58,-69.26,-92.84,N
20,0.6667,R_LowerArm,28.00,-64.44,-92.44,N
20,0.6667,L_UpperLeg,-17.32,0.00,17.32,Y
20,0.6667,L_LowerLeg,-18.71,0.00,18.71,Y
20,0.6667,R_UpperLeg,-6.52,0.00,6.52,Y
20,0.6667,R_LowerLeg,-1.39,0.00,1.39,Y
21,0.7000,L_UpperArm,-30.17,-68.57,-38.40,Y
21,0.7000,L_LowerArm,-10.86,51.63,62.49,N
21,0.7000,R_UpperArm,30.94,34.11,3.17,Y
21,0.7000,R_LowerArm,28.09,-85.80,-113.89,N
21,0.7000,L_UpperLeg,-10.91,0.00,10.91,Y
21,0.7000,L_LowerLeg,-16.90,0.00,16.90,Y
21,0.7000,R_UpperLeg,4.57,0.00,-4.57,Y
21,0.7000,R_LowerLeg,1.71,0.00,-1.71,Y
22,0.7333,L_UpperArm,-24.87,-69.44,-44.57,Y
22,0.7333,L_LowerArm,-5.30,52.53,57.83,N
22,0.7333,R_UpperArm,27.93,54.93,26.99,Y
22,0.7333,R_LowerArm,21.46,63.90,42.44,Y
22,0.7333,L_UpperLeg,-6.60,0.00,6.60,Y
22,0.7333,L_LowerLeg,-15.28,0.00,15.28,Y
22,0.7333,R_UpperLeg,13.83,0.00,-13.83,Y
22,0.7333,R_LowerLeg,4.77,0.00,-4.77,Y
23,0.7667,L_UpperArm,-20.85,-69.38,-48.53,Y
23,0.7667,L_LowerArm,-5.30,47.28,52.58,N
23,0.7667,R_UpperArm,-12.57,30.75,43.32,N
23,0.7667,R_LowerArm,19.16,78.97,59.81,Y
23,0.7667,L_UpperLeg,-5.57,0.00,5.57,Y
23,0.7667,L_LowerLeg,-14.12,0.00,14.12,Y
23,0.7667,R_UpperLeg,17.14,0.00,-17.14,Y
23,0.7667,R_LowerLeg,6.84,0.00,-6.84,Y
24,0.8000,L_UpperArm,-14.72,-63.33,-48.61,Y
24,0.8000,L_LowerArm,-6.55,26.31,32.86,N
24,0.8000,R_UpperArm,-25.50,24.04,49.54,N
24,0.8000,R_LowerArm,17.23,59.63,42.41,Y
24,0.8000,L_UpperLeg,-5.91,0.00,5.91,Y
24,0.8000,L_LowerLeg,-12.89,0.00,12.89,Y
24,0.8000,R_UpperLeg,17.30,0.00,-17.30,Y
24,0.8000,R_LowerLeg,8.81,0.00,-8.81,Y
25,0.8333,L_UpperArm,-8.43,-44.97,-36.54,Y
25,0.8333,L_LowerArm,-6.77,6.39,13.16,N
25,0.8333,R_UpperArm,11.88,6.50,-5.38,Y
25,0.8333,R_LowerArm,5.62,47.45,41.82,Y
25,0.8333,L_UpperLeg,-5.51,0.00,5.51,Y
25,0.8333,L_LowerLeg,-11.66,0.00,11.66,Y
25,0.8333,R_UpperLeg,17.81,0.00,-17.81,Y
25,0.8333,R_LowerLeg,10.69,0.00,-10.69,Y
26,0.8667,L_UpperArm,-9.04,-24.08,-15.04,Y
26,0.8667,L_LowerArm,-4.92,-3.82,1.10,Y
26,0.8667,R_UpperArm,21.38,-14.40,-35.77,N
26,0.8667,R_LowerArm,-5.57,43.10,48.68,N
26,0.8667,L_UpperLeg,-4.67,0.00,4.67,Y
26,0.8667,L_LowerLeg,-10.52,0.00,10.52,Y
26,0.8667,R_UpperLeg,16.62,0.00,-16.62,Y
26,0.8667,R_LowerLeg,12.16,0.00,-12.16,Y
27,0.9000,L_UpperArm,-13.06,-10.11,2.94,Y
27,0.9000,L_LowerArm,0.01,-3.60,-3.61,Y
27,0.9000,R_UpperArm,17.18,-14.11,-31.29,N
27,0.9000,R_LowerArm,-7.62,24.31,31.93,N
27,0.9000,L_UpperLeg,-6.02,0.00,6.02,Y
27,0.9000,L_LowerLeg,-8.75,0.00,8.75,Y
27,0.9000,R_UpperLeg,15.97,0.00,-15.97,Y
27,0.9000,R_LowerLeg,13.34,0.00,-13.34,Y
28,0.9333,L_UpperArm,-4.64,-4.18,0.46,Y
28,0.9333,L_LowerArm,2.88,-0.89,-3.78,Y
28,0.9333,R_UpperArm,11.90,-10.92,-22.82,N
28,0.9333,R_LowerArm,-11.00,9.81,20.81,N
28,0.9333,L_UpperLeg,-5.26,0.00,5.26,Y
28,0.9333,L_LowerLeg,-6.84,0.00,6.84,Y
28,0.9333,R_UpperLeg,12.91,0.00,-12.91,Y
28,0.9333,R_LowerLeg,14.08,0.00,-14.08,Y
29,0.9667,L_UpperArm,3.86,-0.24,-4.11,Y
29,0.9667,L_LowerArm,6.95,4.73,-2.22,Y
29,0.9667,R_UpperArm,10.66,-9.22,-19.88,N
29,0.9667,R_LowerArm,-19.68,-6.56,13.12,Y
29,0.9667,L_UpperLeg,-4.17,0.00,4.17,Y
29,0.9667,L_LowerLeg,-5.05,0.00,5.05,Y
29,0.9667,R_UpperLeg,10.94,0.00,-10.94,Y
29,0.9667,R_LowerLeg,13.86,0.00,-13.86,Y
30,1.0000,L_UpperArm,7.46,5.18,-2.28,Y
30,1.0000,L_LowerArm,11.56,8.54,-3.02,Y
30,1.0000,R_UpperArm,10.23,-8.21,-18.44,N
30,1.0000,R_LowerArm,-29.39,-23.75,5.63,Y
30,1.0000,L_UpperLeg,-2.89,0.00,2.89,Y
30,1.0000,L_LowerLeg,-3.31,0.00,3.31,Y
30,1.0000,R_UpperLeg,9.63,0.00,-9.63,Y
30,1.0000,R_LowerLeg,12.18,0.00,-12.18,Y
31,1.0333,L_UpperArm,6.17,2.92,-3.25,Y
31,1.0333,L_LowerArm,14.33,18.81,4.48,Y
31,1.0333,R_UpperArm,7.17,-7.71,-14.88,N
31,1.0333,R_LowerArm,-39.11,-39.93,-0.82,Y
31,1.0333,L_UpperLeg,-1.34,0.00,1.34,Y
31,1.0333,L_LowerLeg,-0.83,0.00,0.83,Y
31,1.0333,R_UpperLeg,10.16,0.00,-10.16,Y
31,1.0333,R_LowerLeg,10.49,0.00,-10.49,Y
32,1.0667,L_UpperArm,2.19,-0.95,-3.15,Y
32,1.0667,L_LowerArm,16.55,25.05,8.50,Y
32,1.0667,R_UpperArm,-0.04,-8.24,-8.20,Y
32,1.0667,R_LowerArm,-47.54,-53.03,-5.48,Y
32,1.0667,L_UpperLeg,0.13,0.00,-0.13,Y
32,1.0667,L_LowerLeg,-0.82,0.00,0.82,Y
32,1.0667,R_UpperLeg,9.59,0.00,-9.59,Y
32,1.0667,R_LowerLeg,8.79,0.00,-8.79,Y
33,1.1000,L_UpperArm,1.81,-4.70,-6.51,Y
33,1.1000,L_LowerArm,21.34,34.35,13.02,Y
33,1.1000,R_UpperArm,-5.44,-10.14,-4.69,Y
33,1.1000,R_LowerArm,-54.87,-63.65,-8.78,Y
33,1.1000,L_UpperLeg,0.50,0.00,-0.50,Y
33,1.1000,L_LowerLeg,-2.38,0.00,2.38,Y
33,1.1000,R_UpperLeg,10.17,0.00,-10.17,Y
33,1.1000,R_LowerLeg,6.00,0.00,-6.00,Y
34,1.1333,L_UpperArm,2.83,-11.28,-14.11,Y
34,1.1333,L_LowerArm,25.79,46.90,21.10,Y
